Time,Latitude,Longitude,Elevation,Number of Satellites Locked,Angular Velocity,Acceleration,Magnetic Field
12:01:58,0,0,0.0,0,"(0.04908738521234052, 0.055632369907319255, 0.055632369907319255)","(0.34, 1.27, 9.56)","(0.0, 0.0, 0.0)"
12:02:02,0,0,0.0,0,"(-0.001090830782496456, 0.03599741582238305, -0.032724923474893676)","(0.1, 1.28, 9.68)","(0.0, 0.0, 0.0)"
12:02:05,36.12356467,97.06741500,283.6,08,"(-0.011999138607461015, 0.014180800172453928, -0.05672320068981571)","(0.76, 1.46, 9.49)","(0.0, 0.0, 0.0)"
12:02:08,36.12356467,97.06741500,283.6,08,"(0.00545415391248228, -1.315541923690726, 0.12762720155208535)","(-0.13, 1.47, 9.4)","(0.0, 0.0, 0.0)"
12:02:11,36.12356467,97.06741500,283.6,08,"(-0.10471975511965978, 0.06654067773228381, -0.18216874067690814)","(1.28, 0.13, 9.83)","(0.0, 0.0, 0.0)"
12:02:14,36.12356467,97.06741500,283.6,08,"(0.02181661564992912, 0.03490658503988659, -0.1930770485018727)","(0.74, 1.69, 9.6)","(0.0, 0.0, 0.0)"
12:02:17,36.12356467,97.06741500,283.6,08,"(-0.002181661564992912, -0.028361600344907856, 0.08399397025222712)","(0.27, 1.3, 9.77)","(0.0, 0.0, 0.0)"
12:02:20,36.12356467,97.06741500,283.6,08,"(-0.03599741582238305, -0.0272707695624114, 0.0)","(0.72, 1.36, 9.68)","(0.0, 0.0, 0.0)"
12:02:23,36.12356467,97.06741500,283.6,08,"(0.14180800172453928, -0.12544553998709243, 0.3937899124812206)","(-0.11, 1.0, 9.040000000000001)","(0.0, 0.0, 0.0)"
12:02:26,36.12356467,97.06741500,283.6,08,"(-0.06654067773228381, 0.025089107997418487, -0.044724062082354694)","(0.75, 1.28, 9.59)","(0.0, 0.0, 0.0)"
12:02:29,36.12356467,97.06741500,283.6,08,"(-0.007635815477475192, 0.001090830782496456, 0.0)","(0.39, 1.36, 8.34)","(0.0, 0.0, 0.0)"
12:02:32,36.12356467,97.06741500,283.6,08,"(-0.002181661564992912, 0.01090830782496456, 0.02181661564992912)","(0.43, 1.33, 9.61)","(0.0, 0.0, 0.0)"
12:02:35,36.12356467,97.06741500,283.6,08,"(0.11126473981463851, -0.06872233929727672, 0.3763366199612773)","(0.53, 2.42, 9.65)","(0.0, 0.0, 0.0)"
12:02:38,36.12356467,97.06741500,283.6,08,"(-0.05781403147231216, 0.028361600344907856, 0.17671458676442586)","(0.42, 2.19, 9.48)","(0.0, 0.0, 0.0)"
12:02:41,36.12356467,97.06741500,283.6,08,"(-0.10253809355466686, -0.055632369907319255, 0.37088246604879505)","(1.07, 0.8200000000000001, 9.81)","(0.0, 0.0, 0.0)"
12:02:44,36.12356467,97.06741500,283.6,08,"(-0.038179077387375956, -0.006544984694978736, -0.07417649320975901)","(0.39, 1.44, 9.74)","(0.0, 0.0, 0.0)"
12:02:47,36.12356467,97.06741500,283.6,08,"(0.011999138607461015, 0.04581489286485115, 0.037088246604879506)","(0.3, 1.24, -318.06)","(0.0, 0.0, 0.0)"
12:02:50,36.12356500,97.06741483,283.2,08,"(-0.018544123302439753, -0.019634954084936207, -0.037088246604879506)","(-0.09, 1.34, 9.53)","(0.0, 0.0, 0.0)"
12:02:53,36.12356500,97.06741483,283.2,08,"(0.030543261909900768, 0.03599741582238305, -0.05781403147231216)","(-0.05, 1.1400000000000001, 9.65)","(0.0, 0.0, 0.0)"
12:02:56,36.12356500,97.06741483,283.2,08,"(0.00545415391248228, 0.04363323129985824, -0.002181661564992912)","(-0.12, 1.48, 9.59)","(0.0, 0.0, 0.0)"
12:02:59,36.12356500,97.06741483,283.2,08,"(0.0272707695624114, -0.04799655442984406, -0.5279620987282847)","(0.09, 1.2, 9.620000000000001)","(0.0, 0.0, 0.0)"
12:03:02,36.12356500,97.06741483,283.2,08,"(0.0, -0.017453292519943295, -0.04254240051736178)","(0.1, 1.54, 9.59)","(0.0, 0.0, 0.0)"
12:03:05,36.12356500,97.06741483,283.2,08,"(-0.014180800172453928, -0.00545415391248228, -0.01090830782496456)","(0.29, 1.33, 9.57)","(0.0, 0.0, 0.0)"
12:03:08,36.12356500,97.06741483,283.2,08,"(0.00545415391248228, -0.04690572364734761, 0.08072147790473774)","(0.3, 1.4000000000000001, 9.65)","(0.0, 0.0, 0.0)"
12:03:11,36.12356500,97.06741483,283.2,08,"(0.017453292519943295, -0.31852258848896514, 0.5825036378531074)","(1.12, -0.49, 8.81)","(0.0, 0.0, 0.0)"
12:03:14,36.12356500,97.06741517,282.9,08,"(-0.031634092692397225, 0.04581489286485115, 0.08290313946973066)","(0.43, 1.41, 9.69)","(0.0, 0.0, 0.0)"
12:03:17,36.12356500,97.06741517,282.9,08,"(-0.004363323129985824, 0.061086523819801536, -0.02181661564992912)","(0.36, 1.3800000000000001, 9.55)","(0.0, 0.0, 0.0)"
12:03:20,36.12356500,97.06741517,282.9,08,"(0.05235987755982989, -0.04799655442984406, -0.01090830782496456)","(0.31, 1.31, 9.4)","(0.0, 0.0, 0.0)"
12:03:23,36.12356500,97.06741517,282.9,08,"(0.011999138607461015, 0.06872233929727672, -0.014180800172453928)","(0.37, 1.56, 9.8)","(0.0, 0.0, 0.0)"
12:03:26,36.12356500,97.06741517,282.9,08,"(0.03381575425739013, 0.031634092692397225, 0.0272707695624114)","(0.5, 1.3800000000000001, 9.58)","(0.0, 0.0, 0.0)"
12:03:29,36.12356500,97.06741517,282.9,08,"(0.028361600344907856, -0.013089969389957472, 0.05345070834232634)","(0.6900000000000001, 1.41, 9.620000000000001)","(0.0, 0.0, 0.0)"
12:03:32,36.12356500,97.06741517,282.9,08,"(-0.27707101875409984, 0.0272707695624114, 0.3719732968312915)","(-0.99, 1.2, 9.4)","(0.0, 0.0, 0.0)"
12:03:35,36.12356500,97.06741517,282.9,08,"(0.08399397025222712, 0.1439896632895322, -0.13744467859455345)","(0.0, 0.9, 8.56)","(0.0, 0.0, 0.0)"
12:03:38,36.12356400,97.06741483,282.7,08,"(-0.011999138607461015, 0.028361600344907856, 0.013089969389957472)","(-0.11, 1.46, 9.5)","(0.0, 0.0, 0.0)"
12:03:41,36.12356400,97.06741483,282.7,08,"(-0.014180800172453928, 0.015271630954950384, 0.18871372537188688)","(-0.14, 1.43, 9.46)","(0.0, 0.0, 0.0)"
12:03:44,36.12356400,97.06741483,282.7,08,"(0.009817477042468103, -0.020725784867432664, 0.04690572364734761)","(0.42, 1.41, 9.52)","(0.0, 0.0, 0.0)"
12:03:47,36.12356400,97.06741483,282.7,08,"(0.05345070834232634, 0.07526732399225546, 0.03381575425739013)","(-0.45, 1.9100000000000001, 9.49)","(0.0, 0.0, 0.0)"
12:03:50,36.12356400,97.06741483,282.7,08,"(-0.017453292519943295, 0.030543261909900768, 0.12435470920459599)","(-0.78, 2.5100000000000002, 9.9)","(0.0, 0.0, 0.0)"
12:03:53,36.12356400,97.06741483,282.7,08,"(0.020725784867432664, 0.009817477042468103, -0.1189005552921137)","(0.08, 1.61, 9.69)","(0.0, 0.0, 0.0)"
12:03:56,36.12356400,97.06741483,282.7,08,"(-0.022907446432425576, 0.019634954084936207, 0.004363323129985824)","(0.0, 1.68, 9.44)","(0.0, 0.0, 0.0)"
12:03:59,36.12356400,97.06741483,282.7,08,"(0.004363323129985824, 0.011999138607461015, 0.04145156973486533)","(-0.11, 1.6600000000000001, 9.61)","(0.0, 0.0, 0.0)"
12:04:02,36.12356233,97.06741483,282.3,08,"(0.001090830782496456, 0.007635815477475192, -0.028361600344907856)","(0.0, 1.56, 9.5)","(0.0, 0.0, 0.0)"
12:04:05,36.12356233,97.06741483,282.3,08,"(-0.02399827721492203, 0.055632369907319255, 0.050178215994836975)","(0.0, 1.55, 9.69)","(0.0, 0.0, 0.0)"
12:04:08,36.12356233,97.06741483,282.3,08,"(-0.04254240051736178, 0.04363323129985824, -0.015271630954950384)","(0.24, 1.41, 9.56)","(0.0, 0.0, 0.0)"
12:04:11,36.12356233,97.06741483,282.3,08,"(0.07853981633974483, 0.3010692959690218, -0.04145156973486533)","(-0.6, 1.68, 8.56)","(0.0, 0.0, 0.0)"
12:04:14,36.12356233,97.06741483,282.3,08,"(-0.003272492347489368, -0.001090830782496456, 0.22143864884678055)","(0.4, 1.7, 10.38)","(0.0, 0.0, 0.0)"
12:04:17,36.12356233,97.06741483,282.3,08,"(0.013089969389957472, -0.10581058590215622, 0.026179938779914945)","(0.73, 1.5, 9.73)","(0.0, 0.0, 0.0)"
12:04:20,36.12356233,97.06741483,282.3,08,"(0.21380283336930536, 0.14508049407202864, -0.037088246604879506)","(-0.05, 2.27, 9.25)","(0.0, 0.0, 0.0)"
12:04:23,36.12356233,97.06741483,282.3,08,"(0.018544123302439753, -0.06435901616729091, -0.031634092692397225)","(-0.79, 1.3800000000000001, 9.02)","(0.0, 0.0, 0.0)"
12:04:26,36.12356100,97.06741500,282.0,08,"(0.001090830782496456, 0.002181661564992912, -0.05781403147231216)","(0.36, 1.84, 9.51)","(0.0, 0.0, 0.0)"
12:04:29,36.12356100,97.06741500,282.0,08,"(-0.0719948316447661, -0.23234695667174513, 0.2825251726665821)","(-326.59000000000003, 1.09, 9.700000000000001)","(0.0, 0.0, 0.0)"
12:04:33,36.12356100,97.06741500,282.0,08,"(0.016362461737446838, -0.22362031041177347, -0.10362892433716332)","(1.16, 1.86, 9.56)","(0.0, 0.0, 0.0)"
12:04:36,36.12356100,97.06741500,282.0,08,"(-0.04581489286485115, -0.08399397025222712, -0.09599310885968812)","(0.19, 2.4, 9.1)","(0.0, 0.0, 0.0)"
12:04:39,36.12356100,97.06741500,282.0,08,"(0.4930555136883981, -0.5530512067257032, -3.8037269385651418)","(1.68, -0.19, 9.0)","(0.0, 0.0, 0.0)"
12:04:42,36.12356100,97.06741500,282.0,08,"(-0.001090830782496456, 0.09490227807719166, -0.2650718801466388)","(1.5, 2.02, 9.59)","(0.0, 0.0, 0.0)"
12:04:45,36.12356100,97.06741500,282.0,08,"(-0.11344640137963143, -0.755945732270044, 0.40578905108868163)","(-0.09, 3.3200000000000003, 8.84)","(0.0, 0.0, 0.0)"
12:04:48,36.12356100,97.06741500,282.0,08,"(0.10253809355466686, -0.2007128639793479, 0.16798794050445423)","(0.18, 1.6, 9.71)","(0.0, 0.0, 0.0)"
12:04:51,36.12356100,97.06741500,281.6,08,"(-0.0818123086872342, 0.031634092692397225, 0.08508480103472356)","(0.78, 1.11, 9.950000000000001)","(0.0, 0.0, 0.0)"
12:04:54,36.12356100,97.06741500,281.6,08,"(-0.03490658503988659, -0.038179077387375956, -0.03381575425739013)","(-0.29, 1.56, 9.53)","(0.0, 0.0, 0.0)"
12:04:57,36.12356100,97.06741500,281.6,08,"(-0.02181661564992912, -0.272707695624114, 0.4636030825609938)","(0.16, 2.16, 10.07)","(0.0, 0.0, 0.0)"
12:05:00,36.12356100,97.06741500,281.6,08,"(-0.12980886311707826, -0.22471114119426994, -0.6850417314077744)","(-0.14, 1.19, 10.51)","(0.0, 0.0, 0.0)"
12:05:03,36.12356100,97.06741500,281.6,08,"(0.19634954084936207, -0.46142142099600086, 0.06326818538479445)","(0.91, 0.75, 9.02)","(0.0, 0.0, 0.0)"
12:05:06,36.12356100,97.06741500,281.6,08,"(0.014180800172453928, 0.19634954084936207, 0.18216874067690814)","(-0.22, 0.73, 8.58)","(0.0, 0.0, 0.0)"
12:05:09,36.12356100,97.06741500,281.6,08,"(0.3119776037939864, -0.44833145160604343, -0.18762289458939044)","(0.92, 1.61, 8.42)","(0.0, 0.0, 0.0)"
12:05:12,36.12356100,97.06741500,281.6,08,"(0.20616701789183017, 0.05235987755982989, -0.003272492347489368)","(-0.51, 0.9400000000000001, 8.51)","(0.0, 0.0, 0.0)"
12:05:15,36.12356033,97.06741583,281.2,08,"(-0.11671889372712078, 0.36760997370130566, 0.21925698728178766)","(-1.36, 0.58, 11.28)","(0.0, 0.0, 0.0)"
12:05:18,36.12356033,97.06741583,281.2,08,"(-0.19416787928436915, 0.22143864884678055, -0.04690572364734761)","(0.11, 0.61, 10.59)","(0.0, 0.0, 0.0)"
12:05:21,36.12356033,97.06741583,281.2,08,"(0.10253809355466686, -0.08835729338221293, 0.210530341021816)","(0.21, 0.87, 9.26)","(0.0, 0.0, 0.0)"
12:05:24,36.12356033,97.06741583,281.2,08,"(-0.11235557059713497, -0.22471114119426994, -0.02399827721492203)","(-0.67, 0.84, 9.53)","(0.0, 0.0, 0.0)"
12:05:27,36.12356033,97.06741583,281.2,08,"(-0.055632369907319255, 0.272707695624114, -0.07090400086226964)","(0.86, 1.23, 9.97)","(0.0, 0.0, 0.0)"
12:05:30,36.12356033,97.06741583,281.2,08,"(0.003272492347489368, 0.02399827721492203, 0.025089107997418487)","(0.27, 1.22, 9.64)","(0.0, 0.0, 0.0)"
12:05:33,36.12356033,97.06741583,281.2,08,"(-0.007635815477475192, -0.04363323129985824, -0.34579335805137656)","(0.45, 0.96, 9.51)","(0.0, 0.0, 0.0)"
12:05:36,36.12356033,97.06741583,281.2,08,"(-0.013089969389957472, 0.006544984694978736, -0.055632369907319255)","(0.3, 1.32, 9.52)","(0.0, 0.0, 0.0)"
12:05:39,36.12355833,97.06741650,280.7,08,"(-0.09490227807719166, -0.18544123302439752, 0.15707963267948966)","(-0.78, -0.19, 9.200000000000001)","(0.0, 0.0, 0.0)"
12:05:42,36.12355833,97.06741650,280.7,08,"(-0.20507618710933373, -0.18980455615438332, -0.1636246173744684)","(0.21, 1.56, 9.48)","(0.0, 0.0, 0.0)"
12:05:45,36.12355833,97.06741650,280.7,08,"(-0.35015668118136234, 0.4341506514335895, -0.32179508083645453)","(-0.08, 0.7000000000000001, 9.43)","(0.0, 0.0, 0.0)"
12:05:48,36.12355833,97.06741650,280.7,08,"(0.06544984694978735, 0.025089107997418487, 0.0916297857297023)","(0.43, 1.03, 9.35)","(0.0, 0.0, 0.0)"
12:05:51,36.12355833,97.06741650,280.7,08,"(0.009817477042468103, 0.004363323129985824, -0.02181661564992912)","(0.14, 0.9400000000000001, 9.64)","(0.0, 0.0, 0.0)"
12:05:54,36.12355833,97.06741650,280.7,08,"(-0.08726646259971647, 0.016362461737446838, -0.01090830782496456)","(0.01, 0.65, 9.63)","(0.0, 0.0, 0.0)"
12:05:57,36.12355833,97.06741650,280.7,08,"(-0.006544984694978736, -0.0545415391248228, 0.020725784867432664)","(0.25, 1.51, 9.65)","(0.0, 0.0, 0.0)"
12:06:00,36.12355833,97.06741650,280.7,08,"(0.0, 0.04581489286485115, 0.06981317007977318)","(0.62, 1.52, 9.53)","(0.0, 0.0, 0.0)"
12:06:03,36.12355833,97.06741650,280.7,08,"(-0.04254240051736178, 0.1265363707695889, -0.284706834231575)","(-0.02, 0.66, 9.38)","(0.0, 0.0, 0.0)"
12:06:06,36.12355833,97.06741650,280.7,08,"(-0.02181661564992912, -0.09381144729469522, 0.03381575425739013)","(-0.12, 1.3900000000000001, 9.620000000000001)","(0.0, 0.0, 0.0)"
12:06:09,36.12355833,97.06741650,280.7,08,"(0.025089107997418487, -0.030543261909900768, 0.002181661564992912)","(0.26, 1.06, 9.620000000000001)","(0.0, 0.0, 0.0)"
12:06:12,36.12355833,97.06741650,280.7,08,"(0.019634954084936207, 0.02399827721492203, 0.037088246604879506)","(0.2, 0.9, 9.58)","(0.0, 0.0, 0.0)"
12:06:15,36.12355833,97.06741650,280.7,08,"(-0.04036073895236887, -0.055632369907319255, -0.003272492347489368)","(0.44, 1.05, 9.66)","(0.0, 0.0, 0.0)"
12:06:18,36.12355833,97.06741650,280.7,08,"(-0.008726646259971648, 0.04036073895236887, 0.00545415391248228)","(0.06, 0.98, 9.61)","(0.0, 0.0, 0.0)"
12:06:21,36.12355833,97.06741650,280.7,08,"(0.03381575425739013, 0.044724062082354694, 0.022907446432425576)","(0.34, 1.02, 9.53)","(0.0, 0.0, 0.0)"
12:06:24,36.12359200,97.06759500,278.9,08,"(0.028361600344907856, 0.02181661564992912, 0.020725784867432664)","(0.33, 0.8, 9.69)","(0.0, 0.0, 0.0)"
12:06:27,36.12359200,97.06759500,278.9,08,"(-0.020725784867432664, 0.004363323129985824, -0.030543261909900768)","(0.34, 1.03, 9.67)","(0.0, 0.0, 0.0)"
12:06:30,36.12359200,97.06759500,278.9,08,"(-0.004363323129985824, -0.04254240051736178, -0.21707532571679475)","(0.29, 0.66, 9.790000000000001)","(0.0, 0.0, 0.0)"
12:06:33,36.12359200,97.06759500,278.9,08,"(-0.05235987755982989, -0.03490658503988659, 0.015271630954950384)","(0.08, 0.5, 9.200000000000001)","(0.0, 0.0, 0.0)"
12:06:36,36.12359200,97.06759500,278.9,08,"(0.04581489286485115, 0.009817477042468103, -0.10471975511965978)","(0.22, 0.77, 9.57)","(0.0, 0.0, 0.0)"
12:06:39,36.12359200,97.06759500,278.9,08,"(-0.022907446432425576, 0.5017821599483697, -0.15271630954950383)","(-0.16, 0.64, 8.120000000000001)","(0.0, 0.0, 0.0)"
12:06:42,36.12359200,97.06759500,278.9,08,"(-0.028361600344907856, 0.11671889372712078, 0.2399827721492203)","(0.5, 1.1, 10.53)","(0.0, 0.0, 0.0)"
12:06:45,36.12359200,97.06759500,278.9,08,"(0.017453292519943295, -0.044724062082354694, 0.12217304763960307)","(0.07, 0.9500000000000001, 9.65)","(0.0, 0.0, 0.0)"
12:06:48,36.12359133,97.06759433,279.1,08,"(0.01090830782496456, -0.07853981633974483, -0.02945243112740431)","(0.62, 1.48, 9.790000000000001)","(0.0, 0.0, 0.0)"
12:06:51,36.12359133,97.06759433,279.1,08,"(-0.01090830782496456, 0.006544984694978736, -0.020725784867432664)","(0.45, 1.01, 9.61)","(0.0, 0.0, 0.0)"
12:06:54,36.12359133,97.06759433,279.1,08,"(-0.013089969389957472, -0.05890486225480862, -0.019634954084936207)","(0.06, 0.6900000000000001, 9.44)","(0.0, 0.0, 0.0)"
12:06:57,36.12359133,97.06759433,279.1,08,"(0.020725784867432664, 0.02181661564992912, 0.018544123302439753)","(0.68, 1.19, 9.57)","(0.0, 0.0, 0.0)"
12:07:00,36.12359133,97.06759433,279.1,08,"(-0.04036073895236887, -0.038179077387375956, 0.037088246604879506)","(-0.93, 3.41, 9.23)","(0.0, 0.0, 0.0)"
12:07:03,36.12359133,97.06759433,279.1,08,"(0.02399827721492203, 0.0719948316447661, 0.06763150851478027)","(-0.13, 3.56, 9.07)","(0.0, 0.0, 0.0)"
12:07:06,36.12359133,97.06759433,279.1,08,"(-0.3817907738737596, -0.0916297857297023, -0.3643374813538163)","(-0.02, 2.02, 9.27)","(0.0, 0.0, 0.0)"
12:07:09,36.12359133,97.06759433,279.1,08,"(0.07963064712224129, 0.0272707695624114, 0.0)","(0.32, 0.03, 9.55)","(0.0, 0.0, 0.0)"
12:07:12,36.12359083,97.06759367,279.2,08,"(-0.10035643198967395, 0.1712604328519436, -0.13853550937704992)","(-0.55, 1.08, 8.73)","(0.0, 0.0, 0.0)"
12:07:15,36.12359083,97.06759367,279.2,08,"(-0.0818123086872342, -0.2301652951067522, 0.07308566242726255)","(0.46, 0.76, 9.450000000000001)","(0.0, 0.0, 0.0)"
12:07:19,36.12359083,97.06759367,279.2,08,"(-0.04581489286485115, -0.04363323129985824, 0.05345070834232634)","(-0.06, -0.29, 9.48)","(0.0, 0.0, 0.0)"
12:07:22,36.12359083,97.06759367,279.2,08,"(-0.18871372537188688, 0.11235557059713497, -0.13744467859455345)","(1.71, 0.77, 11.13)","(0.0, 0.0, 0.0)"
12:07:25,36.12359083,97.06759367,279.2,08,"(0.03599741582238305, -0.14508049407202864, 0.06435901616729091)","(0.24, 0.76, 9.14)","(0.0, 0.0, 0.0)"
12:07:28,36.12359083,97.06759367,279.2,08,"(0.020725784867432664, 0.039269908169872414, 0.0272707695624114)","(0.61, 0.86, 9.63)","(0.0, 0.0, 0.0)"
